 TIME                    	Wind                     	Extraterrestrial         	Globalhorizontal         	globaldiffuse            	globaldirect             	incidentsolarradiation_to	tiltedradiation_direct   	titlted                  	diffuse                  	Ambienttemperature       	Slope                    	SURFACE_AI               	day                      	
 HOURS              	m/s                 	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	øC                  	Degrees             	Degrees             	                    	Degrees             	
  +4.5000000000000000E+01	  +1.7000000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.5750000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +4.6000000000000000E+01	  +1.2500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.4650000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +4.7000000000000000E+01	  +9.0000000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3600000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +4.8000000000000000E+01	  +6.0000000000000009E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2550000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +4.9000000000000000E+01	  +4.0000000000000002E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.1550000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.0000000000000000E+01	  +3.0000000000000004E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0700000000000003E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.1000000000000000E+01	  +5.0000000000000000E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9900000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.2000000000000000E+01	  +6.0000000000000009E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9050000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.3000000000000000E+01	  +4.5000000000000001E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.8199999999999999E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.4000000000000000E+01	  +3.5000000000000003E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7400000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +3.0000000000000000E+00	  +3.3333333333333215E-02	
